Molecule_ID,Name,SMILES,Handedness
Mol_172,(3R)-4-amino-3-fluoro-2-methylbutan-2-ol;hydrochloride_enantiomer,CC(C)(O)[C@@H](F)CN.Cl,S
Mol_173,"(2R)-2,3-dimethylbutane-1,3-diol",C[C@H](CO)C(C)(C)O,R
Mol_174,"(2R)-2,3-dimethylbutane-1,3-diol_enantiomer",C[C@@H](CO)C(C)(C)O,S
Mol_175,(2R)-2-ethynylpiperidine;hydrochloride,C#C[C@H]1CCCCN1.Cl,R
Mol_176,(2R)-2-ethynylpiperidine;hydrochloride_enantiomer,C#C[C@@H]1CCCCN1.Cl,S
Mol_177,methyl (1R)-2-oxocyclopentane-1-carboxylate,COC(=O)[C@@H]1CCCC1=O,R
Mol_178,methyl (1R)-2-oxocyclopentane-1-carboxylate_enantiomer,COC(=O)[C@H]1CCCC1=O,S
Mol_179,"5-[(1R)-1-aminoethyl]-1,2-oxazol-3-one",C[C@@H](N)c1cc(=O)[nH]o1,R
Mol_180,"5-[(1R)-1-aminoethyl]-1,2-oxazol-3-one_enantiomer",C[C@H](N)c1cc(=O)[nH]o1,S
Mol_181,methyl (3R)-piperidine-3-carboxylate,COC(=O)[C@@H]1CCCNC1,R
Mol_182,methyl (3R)-piperidine-3-carboxylate_enantiomer,COC(=O)[C@H]1CCCNC1,S
Mol_183,(2R)-2-thiophen-2-ylazetidine,c1csc([C@H]2CCN2)c1,R
Mol_184,(2R)-2-thiophen-2-ylazetidine_enantiomer,c1csc([C@@H]2CCN2)c1,S
Mol_185,(2R)-2-methoxypropanoyl chloride,CO[C@H](C)C(=O)Cl,R
Mol_186,(2R)-2-methoxypropanoyl chloride_enantiomer,CO[C@@H](C)C(=O)Cl,S
Mol_187,[(2R)-3-bromo-2-methylpropyl] acetate,CC(=O)OC[C@@H](C)CBr,R
Mol_188,[(2R)-3-bromo-2-methylpropyl] acetate_enantiomer,CC(=O)OC[C@H](C)CBr,S
Mol_189,(1R)-1-(3-fluorocyclobutyl)ethanamine;hydrochloride,C[C@@H](N)C1CC(F)C1.Cl,R
Mol_190,(1R)-1-(3-fluorocyclobutyl)ethanamine;hydrochloride_enantiomer,C[C@H](N)C1CC(F)C1.Cl,S
Mol_191,3-[(2R)-azetidin-2-yl]propanoic acid,O=C(O)CC[C@@H]1CCN1,R
Mol_192,3-[(2R)-azetidin-2-yl]propanoic acid_enantiomer,O=C(O)CC[C@H]1CCN1,S
Mol_193,"2-[(R)-chloro(fluoro)methoxy]-1,1,1-trifluoroethane",F[C@H](Cl)OCC(F)(F)F,R
Mol_194,"2-[(R)-chloro(fluoro)methoxy]-1,1,1-trifluoroethane_enantiomer",F[C@@H](Cl)OCC(F)(F)F,S
Mol_195,"2-[(2R)-oxetan-2-yl]-4,5-dihydro-1,3-oxazole",C1COC([C@H]2CCO2)=N1,R
Mol_196,"2-[(2R)-oxetan-2-yl]-4,5-dihydro-1,3-oxazole_enantiomer",C1COC([C@@H]2CCO2)=N1,S
Mol_197,(2S)-1-chloro-3-(1H-imidazol-5-yl)propan-2-amine,N[C@H](CCl)Cc1cnc[nH]1,S
Mol_198,(2S)-1-chloro-3-(1H-imidazol-5-yl)propan-2-amine_enantiomer,N[C@@H](CCl)Cc1cnc[nH]1,R
Mol_199,methyl (2R)-2-chloro-4-methylpentanoate,COC(=O)[C@H](Cl)CC(C)C,R
Mol_200,methyl (2R)-2-chloro-4-methylpentanoate_enantiomer,COC(=O)[C@@H](Cl)CC(C)C,S
Mol_201,(3R)-piperidine-3-carboxamide;hydrochloride,Cl.NC(=O)[C@@H]1CCCNC1,R
